     #  ID    M_monson    M_this  eM_monson  eM_this
        TMON    3.6154    3.6475    0.0068    0.0454
       YZSGR    4.9928    4.9407    0.0046    0.0387
       WZSGR    4.7519    4.7296    0.0052    0.0386
##########
      AD-PUP         -    7.3203         -    0.0337
      AQ-CAR         -    6.7043         -    0.0169
      AQ-PUP         -    5.4479         -    0.0488
    BETA-DOR         -    1.9739         -    0.0453
      BN-PUP         -    7.0799         -    0.0478
      CR-CAR         -    8.2110         -    0.0152
      DR-VEL         -    5.9833         -    0.0416
      HW-CAR         -    6.7535         -    0.0085
      KK-CEN         -    8.1060         -    0.0178
      KN-CEN         -    5.7260         -    0.0413
       L-CAR         -    1.1238         -    0.0441
      RY-SCO         -    4.2731         -    0.0393
      RY-VEL         -    5.1162         -    0.0390
       S-NOR         -    4.3835         -    0.0465
      SS-CMA         -    6.8361         -    0.0168
      SV-VEL         -    5.9062         -    0.0408
      SY-NOR         -    6.0093         -    0.0408
       T-MON         -    3.6475         -    0.0454
       U-CAR         -    3.6388         -    0.0404
      UU-MUS         -    6.9590         -    0.0120
   V0340-ARA         -    6.6588         -    0.0119
   V0339-CEN         -    5.8095         -    0.0410
      VW-CEN         -    7.0169         -    0.0088
      VY-CAR         -    4.9402         -    0.0398
      VZ-PUP         -    6.8203         -    0.0252
       W-SGR         -    2.8872         -    0.0398
      WX-PUP         -    6.6899         -    0.0206
      WZ-SGR         -    4.7296         -    0.0386
       X-PUP         -    5.5803         -    0.0518
      XX-CAR         -    6.7198         -    0.0164
      XY-CAR         -    6.4249         -    0.0411
      XZ-CAR         -    5.6770         -    0.0400
      YZ-CAR         -    5.9351         -    0.0410
      YZ-SGR         -    4.9407         -    0.0387
